,    Order |  ,    Club |  ,    State |  ,    Competition |  ,    Expenditures |  ,    Arrivals |  ,    Income  |  ,    Departures |  ,    Balance |  ,    Season |  , Inflacion + Income |  , Inflacion + Expenditures |  , Inflacion + Balance |  
1618,86,RSCAnderlecht,Belgium,JupilerProLeague,14870000.0,23,36300000.0,20,21430000.0,2015,37867831.71,15512249.52,22355582.19
1619,86,FCAugsburg,Germany,Bundesliga,12450000.0,16,6900000.0,16,-5550000.0,2014,7185774.85,12965637.22,-5779862.38
1620,86,GetafeCF,Spain,LaLiga,10000000.0,18,14500000.0,18,4500000.0,2013,15228524.95,10502431.0,4726093.95
1621,86,FulhamFC,England,PremierLeague,10000000.0,32,31420000.0,35,21420000.0,2012,33730353.05,10735312.87,22995040.17
1622,86,AtalantaBC,Italy,SerieA,11000000.0,44,11650000.0,38,650000.0,2011,12851248.05,12134225.62,717022.42
1623,86,SãoPauloFutebolClube,Brazil,SérieA,8900000.0,42,19620000.0,43,10720000.0,2010,22123690.03,10035720.76,12087969.27
1624,86,AlAinFC,UnitedArabEmirates,UAEGulfLeague,8550000.0,7,700000.0,6,-7850000.0,2009,796575.0,9729594.68,-8933019.68
1625,86,RCDMallorca,Spain,LaLiga,10230000.0,26,32400000.0,23,22170000.0,2008,37480582.72,11834146.95,25646435.77
1626,86,CagliariCalcio,Italy,SerieA,11290000.0,31,17000000.0,27,5710000.0,2007,20276419.06,13465927.72,6810491.34
1627,86,FeyenoordRotterdam,Netherlands,Eredivisie,7000000.0,37,24400000.0,29,17400000.0,2006,29663467.46,8510011.16,21153456.31
1628,86,DeportivoGuadalajara,Mexico,LigaMXClausura,5450000.0,15,3000000.0,12,-2450000.0,2005,3729918.55,6776018.7,-3046100.15
1629,86,AJAuxerre,France,Ligue1,3000000.0,12,27000000.0,11,24000000.0,2004,34361401.49,3817933.5,30543467.99
1630,86,BorussiaMönchengladbach,Germany,Bundesliga,2300000.0,14,175000.0,16,-2130000.0,2003,227213.16,2986230.08,-2765508.72
1631,86,RSCAnderlechtU19,Belgium,Belgium,2250000.0,4,0.0,5,-2250000.0,2002,0.0,2988790.02,-2988790.02
1632,86,WestBromwichAlbion,England,FirstDivision,3850000.0,14,7500000.0,12,3660000.0,2001,10171621.53,5221432.38,4963751.3
1633,86,PrestonNorthEnd,England,FirstDivision,3530000.0,12,1150000.0,12,-2380000.0,2000,1599666.35,4910280.17,-3310613.83
1634,87,GetafeCF,Spain,LaLiga,22250000.0,35,3500000.0,31,-18750000.0,2018,3554625.6,22597262.74,-19042637.14
1635,87,EintrachtFrankfurt,Germany,Bundesliga,18700000.0,18,4920000.0,16,-13790000.0,2017,5063984.98,19247259.97,-14193567.65
1636,87,RealSociedad,Spain,LaLiga,18000000.0,18,11000000.0,12,-7000000.0,2016,11446421.37,18730507.7,-7284086.33
1637,87,1.FCKöln,Germany,Bundesliga,14780000.0,13,13050000.0,16,-1730000.0,2015,13613641.98,15418362.33,-1804720.35
1638,87,ShakhtarDonetsk,Ukraine,PremierLiga,12000000.0,22,3800000.0,18,-8200000.0,2014,3957383.25,12496999.73,-8539616.48
1639,87,AlNassrFC,SaudiArabia,ProfessionalLeague,10000000.0,13,0.0,18,-10000000.0,2013,0.0,10502431.0,-10502431.0
1640,87,AlRayyanSportsClub,Qatar,StarsLeague,10000000.0,6,0.0,16,-10000000.0,2012,0.0,10735312.87,-10735312.87
1641,87,ChievoVerona,Italy,SerieA,11000000.0,79,12090000.0,59,1090000.0,2011,13336617.07,12134225.62,1202391.45
1642,87,LokomotivMoscow,Russia,PremierLiga,8400000.0,18,21100000.0,18,12700000.0,2010,23792551.46,9471916.22,14320635.24
